Recettes,Ingrédients
Palets aux lentilles carottes et flocons d’avoine.html,"['100 g carotte(s)', '1  échalote(s)', '25 g lentilles corail', ""50 g flocons d'avoine"", '1 c. à café fécule de maïs', '1 c. à café huile d’olive', '1 pincée(s) cumin']"
"Palets de haricots blancs au curcuma, dés de betterave.html","['100 g betterave(s)', '100 g haricots blancs', '1 pincée curcuma', ""1 c. à café huile d'olive""]"
Pancakes au potimarron et champignons.html,"['300 g potimarron', '150 g champignons', '1  oeuf(s)', '100 g farine', '100 mL lait']"
Pancakes au potimarron et châtaignes.html,"['160 g potimarron', '80 g farine', '1  oeuf(s)', '6  châtaignes']"
Pancakes au rutabaga et cabillaud.html,"['150 g rutabaga(s)', '50 mL lait', ""30 g farine d'épeautre"", '10 g cabillaud', '1 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)', '  persil']"
Pancakes au rutabaga.html,"['150 g rutabaga(s)', '50 mL lait', ""30 g farine d'épeautre"", '1 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)', '  persil']"
Pancakes aux flocons d’avoine et carottes.html,"['1  oeuf(s)', '300 g carotte(s)', ""100 g flocons d'avoine"", '100 mL lait']"
Pancakes aux légumes d’été.html,"['60 g courgette(s)', '60 g coulis de tomates', '60 g poivron(s) rouge(s)', ""50 g farine d'avoine"", '1 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)', '  basilic']"
Pancakes aux petits pois carottes et pruneaux.html,"['50 g carotte(s)', '50 g petits pois', '20 g pruneau(x)', '50 mL lait', '30 g farine', '2 c. à café fécule de maïs', '1 c. à café huile(s) végétale(s)']"
Pancakes aux épinards et colin.html,"['100 g pomme(s) de terre', ""50 g pousses d'épinards"", '50 mL lait', '30 g farine', '10 g colin', '1 c. à café huile(s) végétale(s)']"
Pancakes carottes céleri et fromage frais.html,"['100 g carotte(s)', '50 g céleri-branche', '30 mL lait', '30 g farine de sarrasin', '15 g fromage frais', '1 c. à café huile(s) végétale(s)', '  persil']"
Pancakes chouchou maïs.html,"['400 g chayote(s)', '70 g farine de maïs', '1  oeuf(s)', '1 c. à soupe huile d’olive']"
Pancakes colorés aux légumes.html,"['1  yaourt nature', '1  oeuf(s)', '100 g farine', '1 c. à café poudre à lever', '1 c. à soupe huile(s) végétale(s)', '50 g purée de carottes', '50 g purée de betteraves', ""50 g pousses d'épinards""]"
Pancakes de betterave au sarrasin (sans oeuf).html,"['150 g betterave(s)', '25 g farine de sarrasin', '25 g farine de riz', '1 c. à café huile(s) végétale(s)', '  persil']"
Pancakes de butternut et boeuf haché.html,"['100 g butternut', '80 g farine de pois chiches', '40 mL lait', '10 g boeuf haché', '1 c. à café huile(s) végétale(s)']"
Pancakes de carotte et jambon.html,"['100 g carotte(s)', '60 g farine', '40 mL lait', '10 g jambon blanc', '1 c. à café huile(s) végétale(s)', '1 pincée(s) cumin']"
Pancakes de carottes au sarrasin.html,"['150 g carotte(s)', '60 mL lait', '50 g farine de sarrasin', '1 c. à café huile(s) végétale(s)', '  persil']"
Pancakes de courgette au thon.html,"['90 g pomme(s) de terre', '100 g courgette(s)', '10 g thon', '2 c. à soupe farine', '1 c. à soupe fécule de maïs', '  huile d’olive', '  aneth']"
Pancakes de courgette brocoli et jambon.html,"['60 g farine', '50 g brocoli', '50 g courgette(s)', '50 mL lait', '10 g jambon blanc', '2 c. à café huile(s) végétale(s)', '¼ c. à café cumin']"
Pancakes de courgette et pommes de terre.html,"['50 g courgette(s)', '50 g pomme(s) de terre', '50 mL lait', '40 g farine', '1 c. à café huile(s) végétale(s)', '¼ c. à café cumin']"
Pancakes de courgette à l’oeuf.html,"['150 g courgette(s)', '100 g farine', '100 mL lait', '1  oeuf(s)', '1 c. à soupe huile(s) végétale(s)', '  romarin']"
Pancakes de courgette.html,"['100 g courgette(s)', '90 g pomme(s) de terre', '35 g farine', '1 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)', '  aneth']"
Pancakes de céleri rave au saumon.html,"['150 g céleri-rave', '40 mL lait', ""40 g farine d'épeautre"", '10 g saumon', '1 c. à café huile(s) végétale(s)', '1 pincée muscade moulue', '  persil']"
Pancakes de céleri rave.html,"['150 g céleri-rave', '40 mL lait', ""40 g farine d'épeautre"", '1 c. à café huile(s) végétale(s)', '1 pincée muscade moulue', '  persil']"
Pancakes de navet et fenouil.html,"['60 g fenouil', '60 g navet(s)', '60 g farine', '50 mL lait', '1 c. à café huile(s) végétale(s)']"
Pancakes de panais et carotte au jambon.html,"['50 g carotte(s)', '50 g panais', ""40 g farine d'avoine"", '40 mL lait', '10 g jambon blanc', '1 c. à café huile(s) végétale(s)']"
Pancakes de panais et carotte.html,"['50 g carotte(s)', '50 g panais', ""40 g farine d'avoine"", '40 mL lait', '1 c. à café huile(s) végétale(s)']"
Pancakes de patate douce et poivrons.html,"['100 g poivron(s) rouge(s)', ""60 g farine d'épeautre"", '50 g patate(s) douce(s)', '50 mL lait', '1 c. à café huile(s) végétale(s)']"
Pancakes de petits pois et fenouil.html,"['60 g farine', '50 g fenouil', '50 g petits pois', '50 mL lait', '1 c. à café huile(s) végétale(s)']"
Pancakes de pommes de terre et tomates.html,"['60 g pomme(s) de terre', '60 g pulpe de tomates', ""35 g farine d'avoine"", '1 c. à café huile(s) végétale(s)', '  basilic']"
Pancakes de potimarron au jambon.html,"['150 g potimarron', '60 g farine', '50 mL lait', '10 g jambon blanc', '1 c. à café huile(s) végétale(s)', '1 pincée(s) paprika']"
Pancakes de potimarron et crème de châtaignes.html,"['150 g potimarron', '60 g farine', '50 mL lait', '30 g châtaignes', '1 c. à café crème fraîche', '1 c. à café huile(s) végétale(s)', '1 pincée paprika']"
Pancakes de potimarron à la dinde.html,"['150 g potimarron', '60 g farine', '50 mL lait', '10 g dinde', '1 c. à café huile(s) végétale(s)', '1 pincée paprika']"
Pancakes de roquette et basilic.html,"['50 g pomme(s) de terre', '50 g roquette', '50 g courgette(s)', ""30 g farine d'avoine"", '10 g basilic', '1 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)']"
Pancakes de topinambour.html,"['70 g topinambour(s)', '50 g pomme(s) de terre', '50 mL lait', '20 g farine de riz', '1 c. à café fécule de maïs', '1 c. à café huile(s) végétale(s)']"
Pancakes effrayants pour Halloween.html,"[""80 g flocons d'avoine"", '1  oeuf(s)', '1  yaourt', '1 pincée(s) poudre à lever', '1 c. à soupe huile d’olive', '  purées de légumes']"
Pancakes façon bolognaise.html,"['75 g carotte(s)', '75 g coulis de tomates', '30 g farine', '10 g boeuf haché', '1 c. à café huile d’olive', '  basilic']"
Pancakes façon tajine au poulet.html,"['50 g carotte(s)', '50 g petits pois', '50 mL lait', '30 g farine', '20 g pruneau(x)', '2 c. à café fécule de maïs', '10 g poulet', '1 c. à café huile(s) végétale(s)']"
Pancakes pomme fenouil.html,"['50 g fenouil', '50 g compote de pommes', '50 mL lait', '40 g farine de pois chiches', '2 c. à café fécule de maïs', '1 c. à café huile(s) végétale(s)']"
Pancakes pommes de terre tomates et jambon.html,"['60 g farine', '50 g pomme(s) de terre', '50 g pulpe de tomates', '50 mL lait', '20 g jambon blanc', '1 c. à café huile(s) végétale(s)', '  basilic']"
Pancakes provençaux.html,"['60 g courgette(s)', '60 g aubergine(s)', '60 g poivron(s) rouge(s)', ""50 g farine d'avoine"", '1 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)', '1 pincée thym']"
Pancakes sucrés-salés aux poires et navets.html,"['60 g farine', '50 g pomme(s) de terre', '50 g tomate(s)', '50 g navet(s)', '½  poire(s)', '15 g lait', '1 c. à café huile d’olive', '1 pincée(s) cumin']"
Pancakes à la patate douce et au poivron rouge.html,"['50 g patate(s) douce(s)', '100 g poivron(s) rouge(s)', '60 g farine', '50 mL lait', '1 c. à soupe huile(s) végétale(s)', '  épices au choix']"
Pancakes à la ratatouille.html,"['60 g farine', '50 g lait', '50 g tomate(s)', '25 g courgette(s)', '25 g aubergine(s)', '¼  oignon(s)', '1 c. à café huile d’olive', '1 pincée(s) herbes de Provence']"
Pancakes épinards pomme de terre et saumon.html,"['100 g pomme(s) de terre', ""50 g pousses d'épinards"", '50 mL lait', '30 g farine', '10 g saumon', '1 c. à café huile(s) végétale(s)']"
Pancakes épinards pomme de terre.html,"['100 g pomme(s) de terre', ""50 g pousses d'épinards"", '50 mL lait', '30 g farine', '1 c. à café huile(s) végétale(s)']"
Panna cotta salées crevettes mangue.html,"['200 mL lait de coco', '200 mL crème liquide', '150 g mangue', '60 g crevettes', '½  citron vert', '1 c. à soupe huile(s) végétale(s)', '2 feuille(s) gélatine', '  coriandre']"
Parmentier de butternut et boeuf.html,"['220 g butternut', '20 g boeuf', '20 g coulis de tomates', '1 pincée fromage râpé', '1 pincée herbes aromatiques', '1 c. à café huile(s) végétale(s)']"
Parmentier de courge butternut et boeuf.html,"['180 g butternut', '15 g boeuf haché', '¼  oignon(s)', ""1 c. à café huile d'olive"", '1 c. à café huile(s) végétale(s)']"
Parmentier de dinde et patate douce.html,"['20 g dinde', '180 g patate(s) douce(s)', '½  oignon(s)', '1 c. à café huile(s) végétale(s)', '  chapelure']"
Parmentier de panais au canard.html,"['160 g panais', '60 g pomme(s) de terre', '20 g canard', '1 c. à café huile(s) végétale(s)', '1 pincée persil', '  chapelure']"
Parmentier de poireau au poisson.html,"['100 g poireau(x)', '100 g pomme(s) de terre', '20 g poisson', '½  citron(s)', '1 c. à café huile(s) végétale(s)', '  chapelure']"
Parmentier de truite à la courge butternut.html,"['130 g butternut', '100 g carotte(s)', '20 g truite', '1 c. à café crème']"
Patate douce et crème d’endives.html,"['120 g patate(s) douce(s)', '200 g endive(s)', '1 c. à soupe crème fraîche']"
Patate douce et poireau au boeuf.html,"['100 g patate(s) douce(s)', '100 g poireau(x)', '20 g boeuf', '1 c. à café huile(s) végétale(s)']"
Patate douce et poulet aux pruneaux.html,"['175 g patate(s) douce(s)', '20 g poulet', '40 g pruneau(x)', '1 c. à café huile(s) végétale(s)']"
"Patate douce fondante, cabillaud façon ceviche.html","['180 g patate(s) douce(s)', '20 g cabillaud', '2 pincée coriandre', '½  citron vert', '¼  oignon(s)', ""1 c. à café huile d'olive""]"
Patate douce rôtie au thym et crème d’épinards à la dinde.html,"['150 g patate(s) douce(s)', '50 g épinards', '10 g dinde', '1 c. à café crème fraîche', '1 c. à café huile(s) végétale(s)', '2 pincée(s) thym']"
Patate douce rôtie au thym.html,"['200 g patate(s) douce(s)', '1 c. à café huile(s) végétale(s)', '2 pincée(s) thym']"
Patate douce rôtie et crème de fenouil.html,"['150 g patate(s) douce(s)', '50 g fenouil', '1 c. à café huile(s) végétale(s)', '1 c. à café crème fraîche', '2 pincée(s) thym']"
Patate douce rôtie et crème d’endives au poulet.html,"['150 g patate(s) douce(s)', '50 g endive(s)', '10 g poulet', '1 c. à café crème fraîche', '1 c. à café huile(s) végétale(s)', '2 pincée(s) thym']"
"Patate douce, porc aux pruneaux.html","['150 g patate(s) douce(s)', '60 g pruneau(x)', '20 g porc', '1 c. à café huile(s) végétale(s)']"
Patates douces à la crème de haricots verts et ciboulette.html,"['120 g patate(s) douce(s)', '100 g haricots verts', '1 c. à café huile(s) végétale(s)', '½  citron(s)', '  ciboulette']"
Patates douces écrasées à la crème de haricots verts et ciboulette.html,"['100 g patate(s) douce(s)', '100 g haricots verts', '  ciboulette', '½  citron(s)', '1 c. à café huile(s) végétale(s)']"
Patates douces écrasées à la crème de haricots verts et merlan.html,"['100 g patate(s) douce(s)', '100 g haricots verts', '  ciboulette', '½  citron(s)', '1 c. à café huile(s) végétale(s)', '15 g merlan']"
Pâtes au pesto de courgettes et cabillaud.html,"['120 g courgette(s)', '50 g tomates cerises', '20 g pâtes', '15 g cabillaud', '5 g pignons de pin', ""1 c. à café huile d'olive"", '  basilic']"
Pâtes au pesto de courgettes et tomates cerises.html,"['120 g courgette(s)', '60 g tomates cerises', '20 g pâtes', '5 g pignons de pin', ""1 c. à café huile d'olive"", '  basilic']"
Pâtes aux courgettes et au cabillaud.html,"['180 g courgette(s)', '1 c. à café crème', '20 g pâtes', '5 g fromage râpé', '20 g cabillaud']"
"Pâtes aux courgettes, tomates et saumon.html","['25 g pâtes', '75 g courgette(s)', '75 g tomates cerises', '20 g saumon', '1 c. à café crème fraîche', '75 mL eau']"
Pâtes à la sauce tomates.html,"['25 g pâtes', '100 g coulis de tomates', '50 g carotte(s)', '½  oignon(s)', ""1 c. à café huile d'olive"", '1 pincée herbes aromatiques', '1 pincée fromage râpé']"
Pâtes bolognaise.html,"['25 g pâtes', '100 g coulis de tomates', '50 g carotte(s)', '½  oignon(s)', '20 g boeuf haché', ""1 c. à café huile d'olive"", '1 pincée herbes aromatiques']"
"Pesto de courgettes, petites pâtes et tomates cerises.html","['120 g courgette(s)', '50 g tomates cerises', '20 g pâtes', '5 g pignons de pin', ""1 c. à café huile d'olive"", '  basilic']"
Pesto de mâche et poulet et ses petites pâtes.html,"['25 g pâtes', '60 g mâche', '50 g panais', '15 g poulet', '½ gousse ail', '1 c. à soupe noisettes en poudre', ""1 c. à soupe huile d'olive"", '5 à 10 g parmesan']"
Petit porridge aux légumes et poisson pané à l’avoine.html,"[""30 g flocons d'avoine"", '100 g carotte(s)', '50 g céleri-branche', '20 g poisson', '10 g oignon(s)', '1 pincée coriandre', ""1 c. à soupe huile d'olive""]"
Petit pot-au-feu au boeuf.html,"['60 g pomme(s) de terre', '60 g carotte(s)', '50 g poireau(x)', '50 g navet(s)', '½ g oignon(s)', '20 g boeuf', '1 c. à café huile(s) végétale(s)', '1 c. à café huile d’olive', '1 pincée thym']"
Petites pâtes aux courgettes et au cabillaud.html,"['150 g courgette(s)', '20 g pâtes', '15 g cabillaud', ""1 c. à café huile d'olive""]"
Petites pâtes à la sauce tomates-carottes-basilic.html,"['20 g pâtes', '100 g tomate(s)', '75 g carotte(s)', '¼  oignon(s)', ""1 c. à café huile d'olive"", '  basilic']"
Petites pâtes à la sauce tomates.html,"['20 g pâtes', '120 g tomates cerises', '60 g courgette(s)', '1 c. à café huile(s) végétale(s)', '  basilic']"
Petites pâtes au pesto de blettes.html,"['15 g pâtes', '120 g blettes', '10 g pignons de pin', '  persil', '1 c. à café huile(s) végétale(s)', '½  citron(s)', '10 g parmesan', '½ gousse ail']"
Petites pâtes aux légumes verts.html,"['20 g pâtes', '100 g épinards', '40 g petits pois', '1 c. à café crème']"
"Petites pâtes aux épinards, petits pois et maquereau.html","['20 g pâtes', '100 g épinards', '40 g petits pois', '1 c. à café huile(s) végétale(s)', '15 g maquereau']"
Petites pâtes crémeuses au chou-fleur et lieu jaune.html,"['130 g chou-fleur', '20 g petites pâtes', '15 g lieu jaune', '1 c. à café crème']"
Petites pâtes et purée de légumes provençaux au thon.html,"['20 g pâtes', '30 g aubergine(s)', '30 g courgette(s)', '30 g poivron(s) rouge(s)', '30 g coulis de tomates', '15 g thon', '½ gousse ail', '1 c. à café huile(s) végétale(s)']"
Petits blinis et purée de courgettes au boeuf.html,"['30 g farine', ""1 c. à soupe huile d'olive"", '50 mL lait', '200 g courgette(s)', '15 g boeuf haché', '  herbes aromatiques']"
Petits flans carottes poivron rouge.html,"['150 g carotte(s)', '50 g poivron(s) rouge(s)', '1  oeuf(s)', '40 g fromage blanc', '40 g farine', '  coriandre']"
Poisson panais 😉.html,"['200 g panais', '10 à 20 g poisson', '1 c. à café huile(s) végétale(s)']"
"Poisson pané à l’avoine, porridge à la carotte et céleri.html","[""35 g flocons d'avoine"", '120 g carotte(s)', '50 g céleri-branche', '25 g poisson', '10 g oignon(s)', '1 pincée coriandre', ""1 c. à soupe huile d'olive""]"
Poisson à l’aneth et sa purée de légumes au quinoa.html,"['15 g poisson', '1 pincée aneth', '50 g carotte(s)', '50 g navet(s)', '50 g courgette(s)', '15 g quinoa', '1 c. à café huile(s) végétale(s)']"
"Poisson à l’aneth, brunoise de légumes et quinoa.html","['20 g poisson', '50 g carotte(s)', '50 g navet(s)', '50 g courgette(s)', '15 g quinoa', '1 c. à café huile(s) végétale(s)', '1 pincée aneth']"
Poivron farci au quinoa et petits légumes.html,"['1  poivron(s) rouge(s)', '15 g quinoa', '30 g carotte(s)', '30 g tomate(s)', '  herbes aromatiques', ""1 c. à café huile d'olive""]"
Poivrons fondants et quinoa.html,"['15 g quinoa', '220 g poivron(s) rouge(s)', '1 c. à café huile(s) végétale(s)']"
Polenta au chou frisé.html,"['150 g chou vert', '¼  oignon', '25 g polenta', '10 g fromage râpé', '1 c. à café huile d’olive']"
Polenta au duo de purées de carottes et brocolis.html,"['15 g polenta', '90 g carotte(s)', '90 g brocoli', '1 c. à café crème fraîche', '1 feuilles basilic', '1 pincée cumin']"
Polenta aux asperges et saumon.html,"['25 g polenta', '130 g asperge(s) verte(s)', '20 g saumon', '1 c. à café huile(s) végétale(s)', '½  citron(s)']"
Polenta aux aubergines rôties et poulet.html,"['180 g aubergine(s)', '20 g polenta', '20 g poulet', ""1 c. à café huile d'olive""]"
Polenta aux brocolis et colin.html,"['150 g brocoli', '25 g polenta', '20 g colin', '½  citron(s)', '1 c. à café huile(s) végétale(s)']"
Polenta aux carottes et brocolis.html,"['20 g polenta', '100 g carotte(s)', '100 g brocoli', '1 c. à café crème fraîche', '1 pincée herbes aromatiques']"
Polenta aux carottes et cumin.html,"['15 g polenta', '180 g carotte(s)', '1 c. à café huile(s) végétale(s)', '1 pincée cumin']"
Polenta aux courgettes et ciboulette.html,"['15 g polenta', '150 g courgette(s)', '1 c. à café huile(s) végétale(s)', '  ciboulette']"
"Polenta aux courgettes, ciboulette et oeuf dur.html","['15 g polenta', '150 g courgette(s)', '⅓  oeuf(s)', '1 c. à café huile(s) végétale(s)', '  ciboulette']"
Polenta aux poivrons rouges.html,"['20 g polenta', '200 g poivron(s) rouge(s)', '1 c. à café huile(s) végétale(s)']"
"Polenta aux pommes, épinards, et saumon.html","['15 g polenta', '75 g pomme(s)', ""75 g pousses d'épinards"", '15 g saumon', '1 c. à café huile(s) végétale(s)']"
Polenta crémeuse au chèvre et choux de Bruxelles rôtis.html,"['160 g choux de Bruxelles', '25 g polenta', '10 g fromage de chèvre', ""1 c. à café huile d'olive""]"
Polenta crémeuse au chèvre et crème de chou de Bruxelles rôtis.html,"['160 g choux de Bruxelles', '20 g polenta', '10 g fromage de chèvre', ""1 c. à café huile d'olive""]"
Polenta crémeuse aux épinards et parmesan.html,"['25 g polenta', '120 g épinards', '1 c. à soupe crème fraîche', '  parmesan']"
Polenta crémeuse aux haricot vert et son filet mignon.html,"['120 g haricots verts', '15 g polenta', '15 g filet mignon', '1 c. à café crème fraîche']"
Polenta crémeuse et fondue de poireaux au saumon.html,"['20 g polenta', '100 g poireau(x)', '15 g saumon', '1 c. à soupe crème']"
Polenta crémeuse au butternut.html,"['130 g butternut', '25 g polenta', '1 c. à café crème fraîche']"
Polenta crémeuse aux brocolis et colin.html,"['150 g brocoli', '20 g polenta', '1 c. à café crème fraîche', '15 g colin', '  citron(s)']"
Polenta crémeuse aux navets et saumon.html,"['130 g navet(s)', '20 g polenta', '20 g saumon', '1 c. à café crème fraîche', '1 c. à café miel']"
"Polenta et cabillaud à la tomate, salade de chou-rave et carottes.html","['15 g polenta', '50 g tomate(s)', '20 g cabillaud', '50 g chou-rave', '50 g carotte(s)', '1 c. à café huile de sésame', '  citron(s)']"
Polenta et fondue de poireaux au saumon.html,"['25 g polenta', '100 g poireau(x)', '1 c. à café crème fraîche', '20 g saumon']"
Polenta et sa sauce tomate aux légumes.html,"['20 g polenta', '20 g concentré de tomates', '75 g carotte(s)', '75 g navet(s)', '20 g oignon(s)', '1 g huile(s) végétale(s)']"
"Polenta, poêlée de pommes et pousses d’épinards au saumon.html","['20 g polenta', '100 g pomme(s)', ""60 g pousses d'épinards"", '20 g saumon', ""1 c. à café huile d'olive"", '½  citron(s)']"
"Pommes de terre, carottes à la coriandre.html","['75 g pomme(s) de terre', '180 g carotte(s)', 'quelques feuilles coriandre', '1 c. à café huile(s) végétale(s)']"
Pommes duchesses aux amandes.html,"['400 g pomme(s) de terre', ""40 g poudre d'amandes"", '30 g beurre', '20 g amandes effilées', '1 jaune(s) oeuf(s)', '1 pincée muscade moulue']"
Porridge de poireau à la truite.html,"['100 g poireau(x)', '20 g truite', ""20 g flocons d'avoine"", '1 c. à café huile(s) végétale(s)', '75 mL lait']"
Potage aux légumes.html,"['40 g chou chinois', '40 g poireau(x)', '30 g carotte(s)', '30 g champignons', '20 g petits pois', '1 pincée coriandre', '1 c. à café huile(s) végétale(s)']"
"Potage carotte, gingembre, orange.html","['130 g carotte(s)', '50 g pomme(s) de terre', '½  orange(s)', '1 pincée gingembre moulu', '1 c. à café huile(s) végétale(s)']"
"Potage de navet, poire et carotte.html","['100 g carotte(s)', '80 g navet(s)', '½  poire(s)', '1 c. à café huile(s) végétale(s)', '1 pincée épices', '1 c. à café miel']"
Potage Dubarry (au chou-fleur).html,"['180 g chou-fleur', '40 g pomme(s) de terre', '½  échalote(s)', ""1 c. à café huile d'olive"", '1 c. à café farine', '50 mL lait', '1 pincée muscade moulue']"
Potage d’automne.html,"['50 g carotte(s)', '50 g butternut', '50 g poireau(x)', '50 g navet(s)', '50 g pomme(s) de terre', '1 c. à café crème']"
Potage paysan façon garbure.html,"['20 g porc', '100 g chou vert', '25 g carotte(s)', '25 g navet(s)', '25 g poireau(x)', '40 g haricots blancs', '¼  oignon(s)', '1 c. à café huile(s) végétale(s)', '  herbes aromatiques', '1 pincée bicarbonate de soude alimentaire']"
Potée de chou chinois et carottes.html,"['150 g carotte(s)', '100 g chou chinois', '1 c. à café huile(s) végétale(s)']"
"Potimarron, crème d’endive au saumon.html","['130 g potimarron', '130 g endive(s)', '15 g saumon', '½  citron(s)', ""1 c. à soupe huile d'olive"", '1 c. à café huile(s) végétale(s)']"
"Potimarron, endives braisées au saumon.html","['150 g potimarron', '150 g endive(s)', '20 g saumon', '½  citron(s)', ""1 c. à café huile d'olive"", '1 c. à café huile(s) végétale(s)']"
Potiron et maïs au poulet.html,"['180 g potiron', '80 g maïs', '20 g poulet', '1 c. à café huile(s) végétale(s)']"
Potée de chou au porc.html,"['75 g chou vert', '50 g carotte(s)', '50 g pomme(s) de terre', '40 g navet(s)', '10 g oignon(s)', '20 g porc', '1 c. à café huile(s) végétale(s)', '  herbes aromatiques']"
Poulet aux champignons et semoule.html,"['25 g semoule de couscous', '150 g champignons', '20 g poulet', '½  oignon(s)', '1 pincée persil', ""1 c. à café huile d'olive""]"
"Poulet butternut au curry doux, riz.html","['20 g riz', '130 g butternut', '2 c. à soupe lait de coco', '20 g poulet', '2 pincée curry', '1 pincée coriandre', '1 c. à café concentré de tomates']"
Poulet à la crème de champignons et semoule.html,"['25 g semoule de couscous', '130 g champignons', '15 g poulet', '½  oignon(s)', '½  ail', '1 c. à café huile(s) végétale(s)']"
"Poêlée de brocolis et champignons au sésame, riz.html","['25 g riz', '150 g brocoli', '75 g champignons', '1 c. à soupe huile de sésame']"
"Poêlée de chou rouge aux pommes, boeuf à la coriandre et quinoa.html","['175 g chou-rouge', '½  pomme(s)', '20 g boeuf haché', '  coriandre', '15 g quinoa', ""1 c. à soupe huile d'olive""]"
Poêlée de choux de Bruxelles aux châtaignes.html,"['150 g choux de Bruxelles', '40 g châtaignes', '⅓  oignon(s)', '1 c. à café miel', ""1 c. à soupe huile d'olive""]"
Poêlée de pommes de terre sautées et chou frisé.html,"['250 g pomme(s) de terre', '200 g chou vert', '20 g jambon blanc', '¼  oignon', '1 c. à café huile(s) végétale(s)']"
Poêlée de rutabagas au jambon.html,"['150 g rutabaga(s)', '¼  oignon', '10 g jambon blanc', '1 c. à café huile(s) végétale(s)', '  persil']"
Purée de boeuf carottes.html,"['250 g carotte(s)', '10 à 15 g boeuf', '1 c. à café huile(s) végétale(s)', '1 pincée cumin']"
Purée de butternut et croustillant au sarrasin et noisettes.html,"['220 g butternut', '10 g farine de sarrasin', '10 g poudre de noisettes', '10 g beurre']"
Purée de carotte et courgette au curry.html,"['90 g carotte(s)', '90 g courgette(s)', '60 g pomme(s) de terre', '1 c. à café crème', '1 à 2 pincée curry']"
Purée de céleri branche et courgette.html,"['60 g pomme(s) de terre', '100 g courgette(s)', '100 g céleri-branche', '1 c. à café huile(s) végétale(s)']"
Purée de chou rouge à l’huile d’olive.html,"['250 g chou-rouge', '60 g pomme(s) de terre', ""1 c. à café huile d'olive""]"
"Purée de chou rouge, boulettes de poulet au potimarron.html","['250 g chou-rouge', '60 g pomme(s) de terre', '30 g potimarron', '20 g poulet', ""1 c. à café huile d'olive"", '1 c. à café oignon(s)', '1 pincée coriandre']"
"Purée de chou-rave et carottes, cabillaud à la tomate.html","['80 g carotte(s)', '80 g chou-rave', '40 g tomate(s)', '15 g cabillaud', '1 c. à café huile(s) végétale(s)']"
Purée de choux de Bruxelles au jambon.html,"['200 g choux de Bruxelles', '75 g pomme(s) de terre', '15 à 20 g jambon blanc', ""1 c. à soupe huile d'olive""]"
Purée de fenouil au poisson.html,"['160 g fenouil', '100 g pomme(s) de terre', '10 à 20 g poisson', '1 c. à café huile(s) végétale(s)', '  aneth']"
Purée de fenouil.html,"['160 g fenouil', '100 g pomme(s) de terre', '1 c. à café huile(s) végétale(s)', '  aneth']"
Purée de lentilles corail à la tomate et haricots verts.html,"['20 g lentilles corail', '60 g tomate(s)', '100 g haricots verts', '1 c. à café huile(s) végétale(s)', '  herbes aromatiques', '20 g poisson blanc']"
Purée de lentilles corail et carottes au cumin.html,"['25 g lentilles corail', '200 g carotte(s)', '1 c. à café huile(s) végétale(s)', '1 pincée cumin']"
Purée de ma grand-mère.html,"['60 g poireau(x)', '60 g courgette(s)', '60 g carotte(s)', '60 g pomme(s) de terre', '1 c. à café huile(s) végétale(s)', '  ciboulette']"
Purée de patate douce au curry.html,"['180 g patate(s) douce(s)', '25 mL lait de coco', '1 pincée(s) curry']"
Purée de pâtisson rôti aux épices.html,"['500 g pâtisson(s)', '1 c. à soupe huile(s) végétale(s)', '  épices']"
Purée de petits légumes.html,"['50 g pomme(s) de terre', '50 g navet(s)', '50 g petits pois', '50 g carotte(s)', '1 c. à café huile(s) végétale(s)']"
Purée de pomme de terre et courgettes aux herbes.html,"['150 g courgette(s)', '60 g pomme(s) de terre', ""1 c. à café huile d'olive"", '  herbes aromatiques']"
"Purée de pomme de terre, filet mignon à la sauce aux abricots et amandes.html","['120 g pomme(s) de terre', '15 g filet mignon', '2  abricot(s)', ""1 c. à soupe huile d'olive"", '1 feuilles sauge', ""1 c. à café poudre d'amandes""]"
Purée de ratatouille et riz.html,"['20 g riz', '40 g courgette(s)', '40 g aubergine(s)', '40 g tomate(s)', '40 g poivron(s) vert(s)', '10 g oignon(s)', ""1 c. à café huile d'olive"", '1 pincée herbes aromatiques']"
"Purée fine de lentilles corail, potimarron et noisettes.html","['150 g potimarron', '25 g lentilles corail', '30 mL lait de coco', '1 c. à soupe poudre de noisettes', '  coriandre', '1 pincée bicarbonate de soude alimentaire']"
Purée onctueuse d’endives et patate douce.html,"['100 g patate(s) douce(s)', '180 g endive(s)', '1 c. à café crème fraîche']"
"Purée sucrée-salée de navets, poire et pruneaux.html","['50 g pomme(s) de terre', '50 g navet(s)', '½  poire(s)', '3  pruneau(x)', '1 c. à café huile(s) végétale(s)']"
"Purée aux carottes, patates douces et pruneaux (inspiration tajine).html","['60 g patate(s) douce(s)', '120 g carotte(s)', '50 g pruneau(x)', ""1 c. à café huile d'olive"", '½  citron(s)', '1 pincée épices']"
"Purée crémeuse de chou vert, cabillaud et riz.html","['150 g chou vert', '15 g cabillaud', '20 g riz', '1 c. à soupe crème', '½  citron(s)', ""1 c. à café huile d'olive""]"
